market,Corp Code,Category,Corp Name,URL,,
 東証一部 ,2282,食品 ,日本ハム,http://www.nipponham.co.jp/,,
 東証一部 ,2284,食品 ,伊藤ハム,http://www.itoham.co.jp/,,
 東証一部 ,2286,食品 ,林兼産業,http://www.hayashikane.co.jp/,,
 東証一部 ,2288,食品 ,丸大食品,http://www.marudai.jp/corporate/,,
 東証一部 ,2290,食品 ,米久,http://www.yonekyu.co.jp/,,
 東証二部 ,2291,食品 ,福留ハム,http://www.fukutome.com/,,
 東証一部 ,2292,食品 ,S Foods,http://www.sfoods.co.jp/,,
 JASDAQスタンダード ,2293,食品 ,滝沢ハム,http://www.takizawaham.co.jp/,,
 JASDAQスタンダード ,2294,食品 ,柿安本店,http://www.kakiyasuhonten.co.jp/,,
 JASDAQスタンダード ,2300,サービス ,きょくとう,http://www.cl-kyokuto.co.jp/,,
 東証一部 ,2301,サービス ,学情,http://company.gakujo.ne.jp/,,
 JASDAQスタンダード ,2303,情報・通信 ,ドーン,http://www.dawn-corp.co.jp/,,
 JASDAQスタンダード ,2304,サービス ,ＣＳＳホールディングス,http://www.css-holdings.jp/,,
 東証一部 ,2305,サービス ,スタジオアリス,http://www.studio-alice.co.jp/,,
 JASDAQスタンダード ,2307,情報・通信 ,クロスキャット,http://www.xcat.co.jp/,,
 東証一部 ,2309,サービス ,シミックホールディングス,http://www.cmic.co.jp/,,
 JASDAQスタンダード ,2311,サービス ,エプコ,http://www.epco.co.jp/,,
 JASDAQスタンダード ,2315,情報・通信 ,ＳＪＩ,http://www.sji-inc.jp/,,
 東証一部 ,2317,情報・通信 ,システナ,http://www.systena.co.jp/,,
 JASDAQグロース ,2321,情報・通信 ,ソフトフロント,http://www.softfront.co.jp/,,
 JASDAQスタンダード ,2323,情報・通信 ,ｆｏｎｆｕｎ,http://www.fonfun.co.jp/,,
 東証一部 ,2325,サービス ,ＮＪＳ,http://www.njs.co.jp/,,
 東証一部 ,2326,情報・通信 ,デジタルアーツ,http://www.daj.jp/,,
 東証一部 ,2327,情報・通信 ,新日鉄住金ソリューションズ,http://www.nssol.nssmc.com/,,
 JASDAQスタンダード ,2329,情報・通信 ,東北新社,http://www.tfc.co.jp/,,
 JASDAQスタンダード ,2330,情報・通信 ,フォーサイド,http://www.forside.co.jp/,,
 東証一部 ,2331,サービス ,綜合警備保障,http://www.alsok.co.jp/,,
 JASDAQスタンダード ,2332,情報・通信 ,クエスト,http://www.quest.co.jp/,,
 東証一部 ,2335,情報・通信 ,キューブシステム,http://www.cubesystem.co.jp/,,
 東証一部 ,2337,不動産 ,いちごグループホールディングス,http://www.ichigo.gr.jp/,,
