鴻巣市役所,市区町村役所,埼玉県,入札可能案件20,案件登録数2500,入札結果数2201,https://www.njss.info/organizations/proc/4667/
三島市役所,市区町村役所,静岡県,入札可能案件12,案件登録数2384,入札結果数2168,https://www.njss.info/organizations/proc/4677/
日本放送協会【NHK】(佐賀放送局),その他法人,佐賀県,入札可能案件1,案件登録数15,入札結果数12,https://www.njss.info/organizations/proc/4253/
国立病院機構天竜病院,その他厚生労働省,独立行政法人,入札可能案件4,案件登録数510,入札結果数444,https://www.njss.info/organizations/proc/885/
小牧市役所,市区町村役所,愛知県,入札可能案件30,案件登録数3605,入札結果数3231,https://www.njss.info/organizations/proc/4627/
熊本国税局,国税庁,熊本県,入札可能案件14,案件登録数1456,入札結果数1080,https://www.njss.info/organizations/proc/427/
匝瑳市役所,市区町村役所,千葉県,入札可能案件8,案件登録数441,入札結果数392,https://www.njss.info/organizations/proc/5545/
京都大学,国公立大学,教育,入札可能案件8,案件登録数1757,入札結果数740,https://www.njss.info/organizations/proc/4233/
北杜市役所,市区町村役所,山梨県,入札可能案件1,案件登録数446,入札結果数379,https://www.njss.info/organizations/proc/5565/
大津市民病院,医療・福祉,滋賀県,入札可能案件5,案件登録数297,入札結果数172,https://www.njss.info/organizations/proc/5151/
国税庁(NTA),国税庁,東京都,入札可能案件34,案件登録数13248,入札結果数8455,https://www.njss.info/organizations/proc/434/
高松国税局,国税庁,香川県,入札可能案件26,案件登録数1436,入札結果数951,https://www.njss.info/organizations/proc/435/
東京国税局,国税庁,東京都,入札可能案件66,案件登録数6094,入札結果数3379,https://www.njss.info/organizations/proc/436/
紀南河川国道事務所,整備局,和歌山県,入札可能案件2,案件登録数431,入札結果数196,https://www.njss.info/organizations/proc/971/
綴喜郡井手町役場,市区町村役所,京都府,入札可能案件3,案件登録数35,入札結果数29,https://www.njss.info/organizations/proc/6562/
大阪国税局,国税庁,大阪府,入札可能案件24,案件登録数3905,入札結果数2366,https://www.njss.info/organizations/proc/431/
防衛研究所,その他防衛省,研究所,入札可能案件1,案件登録数469,入札結果数259,https://www.njss.info/organizations/proc/50/
仙台国税局,国税庁,宮城県,入札可能案件15,案件登録数2007,入札結果数1321,https://www.njss.info/organizations/proc/433/
山県郡北広島町役場,市区町村役所,広島県,入札可能案件10,案件登録数94,入札結果数72,https://www.njss.info/organizations/proc/6532/
奈良県庁総務部知事公室,市役所関連団体,奈良県,入札可能案件2,案件登録数138,入札結果数1,https://www.njss.info/organizations/proc/4794/
尼崎市水道局,市役所関連団体,兵庫県,入札可能案件3,案件登録数336,入札結果数295,https://www.njss.info/organizations/proc/4380/
松江市役所,市区町村役所,島根県,入札可能案件63,案件登録数9250,入札結果数5375,https://www.njss.info/organizations/proc/4744/
西条市役所,市区町村役所,愛媛県,入札可能案件49,案件登録数3552,入札結果数3370,https://www.njss.info/organizations/proc/4754/
うるま市役所,市区町村役所,沖縄県,入札可能案件6,案件登録数486,入札結果数254,https://www.njss.info/organizations/proc/4764/
東松山市役所,市区町村役所,埼玉県,入札可能案件25,案件登録数2690,入札結果数2122,https://www.njss.info/organizations/proc/4774/
加古郡稲美町役場,市区町村役所,兵庫県,入札可能案件5,案件登録数287,入札結果数247,https://www.njss.info/organizations/proc/5611/
